323 			building:use 	cultural 				
323 			FIXME:classify 	or tourism=gallery? 				
324 	Näyttelyhallit 	Exhibition halls 	amenity 	exhibition_centre 	X 	4 	1 	8
324 			building 	yes 				
324 			building:use 	exhibition 				
331 	Seura- ja kerhorakennukset yms. 	Association and club buildings, etc. 	amenity 	social_facilty 	X 	21 	36 	55
331 			building 	yes 				
331 			building:use 	gathering 				
331 			FIXME:classify 	"nuorisotalo" => social_facility:for=juvenile 				
341 	Kirkot, kappelit, luostarit ja rukoushuoneet 	Churches, chapels, monasteries, convents and prayerhouses 	amenity 	place_of_worship 	X 	24 	28 	85
341 			building:use 	religious 				
341 			FIXME:classify 	building=chucrch/chapel/monastery/mosque/other place of worship? 				
342 	Seurakuntatalot 	Parish halls 	amenity 	parish_hall 	X 	12 	17 	24
342 			building 	yes 				
342 			building:use 	religious 				
349 	Muut uskonnollisten yhteisöjen rakennukset 	Other buildings of religious communities 	amenity 	place_of_worship 	X 	3 	4 	7
349 			building 	yes 				
349 			building:use 	religious 				
351 	Jäähallit 	Indoor ice rinks 	building 	yes 		3 	8 	9
351 			building:use 	sport 				
351 			leisure 	sports_centre 	X 			
351 			sport 	ice_skating 				
352 	Uimahallit 	Indoor swimming pools 	building 	yes 		3 	4 	4
352 			building:use 	sport 				
352 			leisure 	sports_centre 	X 			
352 			sport 	swimming 				
353 	Tennis-, squash- ja sulkapallohallit 	Indoor tennis, squash and badminton courts 	building 	yes 		0 	2 	5
353 			building:use 	sport 				
353 			leisure 	sports_centre 	X 			
353 			FIXME:classify 	sport=tennis/squash/badminton? 				
354 	Monitoimihallit ja muut urheiluhallit 	Gymnasia and other sports halls 	building 	yes 		11 	28 	44
354 			building:use 	sport 				
354 			leisure 	sports_centre 	X 			
359 	Muut urheilu- ja kuntoilurakennukset 	Other buildings for sports and physical exercise 	building 	yes 		24 	59 	59
359 			building:use 	sport 				
359 			leisure 	sports_centre 	X 			
369 	Muut kokoontumisrakennukset 	Other assembly buildings 	building 	public 		44 	67 	95
369 			building:use 	public 				
369 			FIXME:classify 	leisure=? 				
511 	Yleissivistävien oppilaitosten rakennukset 	General education buildings 	building 	school 		117 	163 	252
511 			building:use 	education 				
511 			amenity 	school 	X 			
511 			FIXME:classify 	isced:level=? "ala-aste"=>1, "ylä-aste"=>2, "lukio"=>3 				
521 	Ammatillisten oppilaitosten rakennukset 	Vocational education buildings 	building 	school 		15 	25 	59
521 			building:use 	education 				
